sample_lib,date,experiment,antibody,concentration,selection,cells_sorted,counts all variants,counts SARS-CoV-2 variants,counts:cells all variants,counts:cells SARS-CoV-2 variants
"expt_24-33-none-0-reference, lib1",200904,expt_24-33,none,0,reference,,5.4e+07,5.34e+07,,
"expt_24-33-none-0-reference, lib2",200904,expt_24-33,none,0,reference,,5.8e+07,5.75e+07,,
"expt_13-16-none-0-reference, lib1",200720,expt_13-16,none,0,reference,,2.5e+07,2.46e+07,,
"expt_13-16-none-0-reference, lib2",200720,expt_13-16,none,0,reference,,2.4e+07,2.36e+07,,
"expt_7-11-none-0-reference, lib1",200616,expt_7-11,none,0,reference,,3.39e+07,3.35e+07,,
"expt_7-11-none-0-reference, lib2",200616,expt_7-11,none,0,reference,,3.5e+07,3.46e+07,,
"expt_22-23-none-0-reference, lib1",200810,expt_22-23,none,0,reference,,1.06e+08,1.05e+08,,
"expt_22-23-none-0-reference, lib2",200810,expt_22-23,none,0,reference,,1.02e+08,1e+08,,
"expt_65-67-none-0-reference, lib1",201102,expt_65-67,none,0,reference,,2.33e+07,2.31e+07,,
"expt_65-67-none-0-reference, lib2",201102,expt_65-67,none,0,reference,,2.55e+07,2.52e+07,,
"expt_3-6-none-0-reference, lib1",200615,expt_3-6,none,0,reference,,3.23e+07,3.2e+07,,
"expt_3-6-none-0-reference, lib2",200615,expt_3-6,none,0,reference,,3.56e+07,3.51e+07,,
"expt_82-86-none-0-reference, lib1",210115,expt_82-86,none,0,reference,,3.13e+07,3.09e+07,,
"expt_82-86-none-0-reference, lib2",210115,expt_82-86,none,0,reference,,3.16e+07,3.13e+07,,
"expt_74-78-none-0-reference, lib1",201109,expt_74-78,none,0,reference,,2.52e+07,2.5e+07,,
"expt_74-78-none-0-reference, lib2",201109,expt_74-78,none,0,reference,,2.85e+07,2.83e+07,,
"expt_68-73-none-0-reference, lib1",201106,expt_68-73,none,0,reference,,2.81e+07,2.78e+07,,
"expt_68-73-none-0-reference, lib2",201106,expt_68-73,none,0,reference,,3.11e+07,3.09e+07,,
"expt_79-81-none-0-reference, lib1",210113,expt_79-81,none,0,reference,,2.56e+07,2.53e+07,,
"expt_79-81-none-0-reference, lib2",210113,expt_79-81,none,0,reference,,2.46e+07,2.44e+07,,
"expt_27-CB6-400-escape, lib1",200904,expt_27,CB6,400,escape,1907893.0,6.69e+06,6.26e+06,3.5071736203235715,3.282590795186103
"expt_27-CB6-400-escape, lib2",200904,expt_27,CB6,400,escape,927804.0,3.62e+06,3.42e+06,3.9009004056891325,3.684329880017762
"expt_13-COV2-2050-400-escape, lib1",200720,expt_13,COV2-2050,400,escape,1253185.0,4.77e+06,4.04e+06,3.8099179291166108,3.226242733515004
"expt_13-COV2-2050-400-escape, lib2",200720,expt_13,COV2-2050,400,escape,1588138.0,5.68e+06,4.79e+06,3.577218730362223,3.014362731702157
"expt_11-COV2-2082-400-escape, lib1",200616,expt_11,COV2-2082,400,escape,522474.0,7.46e+06,7.34e+06,14.274122731466063,14.057819145067505
"expt_11-COV2-2082-400-escape, lib2",200616,expt_11,COV2-2082,400,escape,512138.0,4.25e+06,4.1e+06,8.291021170075252,8.002729733001653
"expt_14-COV2-2094-400-escape, lib1",200720,expt_14,COV2-2094,400,escape,853420.0,3.39e+06,3.37e+06,3.972541070047573,3.9475498582175246
"expt_14-COV2-2094-400-escape, lib2",200720,expt_14,COV2-2094,400,escape,954885.0,2.89e+06,2.85e+06,3.0293585091398443,2.9889065175387612
"expt_23-COV2-2096-400-escape, lib1",200810,expt_23,COV2-2096,400,escape,1018697.0,1.34e+07,1.15e+07,13.156540168470114,11.31387154374657
"expt_23-COV2-2096-400-escape, lib2",200810,expt_23,COV2-2096,400,escape,927621.0,1.3e+07,1.16e+07,14.045826905600455,12.549680311247805
"expt_66-COV2-2130-400-escape, lib1",201102,expt_66,COV2-2130,400,escape,1933517.0,5.91e+06,5.38e+06,3.0561313916557236,2.7840034507066656
"expt_66-COV2-2130-400-escape, lib2",201102,expt_66,COV2-2130,400,escape,2145467.0,4.86e+06,4.51e+06,2.263544487051071,2.1027785559041456
"expt_9-COV2-2165-400-escape, lib1",200616,expt_9,COV2-2165,400,escape,911426.0,1.05e+07,8.92e+06,11.562853155385078,9.78407791746121
"expt_9-COV2-2165-400-escape, lib2",200616,expt_9,COV2-2165,400,escape,393068.0,3.34e+06,2.09e+06,8.49831326895092,5.313401243550734
"expt_65-COV2-2196-400-escape, lib1",201102,expt_65,COV2-2196,400,escape,2323887.0,7.31e+06,6.93e+06,3.144538869574984,2.9822590341096618
"expt_65-COV2-2196-400-escape, lib2",201102,expt_65,COV2-2196,400,escape,1828346.0,5.48e+06,5.25e+06,2.9976558047546797,2.872373172255142
"expt_5-COV2-2479-400-escape, lib1",200615,expt_5,COV2-2479,400,escape,684856.0,1.75e+07,1.22e+07,25.617541497774713,17.840321177006555
"expt_5-COV2-2479-400-escape, lib2",200615,expt_5,COV2-2479,400,escape,582089.0,1.78e+07,1.27e+07,30.586850120857807,21.827199964266633
"expt_15-COV2-2499-400-escape, lib1",200720,expt_15,COV2-2499,400,escape,2593041.0,6.76e+06,6.08e+06,2.6079953999956036,2.3436914418244834
"expt_15-COV2-2499-400-escape, lib2",200720,expt_15,COV2-2499,400,escape,2655138.0,8.65e+06,7.7e+06,3.2572476458850725,2.899644387598686
"expt_16-COV2-2677-400-escape, lib1",200720,expt_16,COV2-2677,400,escape,1243786.0,4.03e+06,3.45e+06,3.2415817512015734,2.774012571294419
"expt_16-COV2-2677-400-escape, lib2",200720,expt_16,COV2-2677,400,escape,1457488.0,3.98e+06,3.22e+06,2.7319024238964573,2.2112772112017387
"expt_10-COV2-2832-400-escape, lib1",200616,expt_10,COV2-2832,400,escape,1525920.0,1.54e+07,1.39e+07,10.104175186117228,9.128958923141449
"expt_10-COV2-2832-400-escape, lib2",200616,expt_10,COV2-2832,400,escape,975400.0,8.76e+06,6.59e+06,8.984226983801518,6.751613696944843
"expt_3-CR3022-400-escape, lib1",200615,expt_3,CR3022,400,escape,1790556.0,1.7e+07,1.69e+07,9.477030039831202,9.464461876646137
"expt_3-CR3022-400-escape, lib2",200615,expt_3,CR3022,400,escape,1175925.0,7.64e+06,7.58e+06,6.499747858069179,6.449374747539172
"expt_82-LY-CoV555-400-escape, lib1",210115,expt_82,LY-CoV555,400,escape,1622745.0,5.71e+06,5.36e+06,3.517561908987549,3.3039664272575173
"expt_82-LY-CoV555-400-escape, lib2",210115,expt_82,LY-CoV555,400,escape,1675156.0,5.29e+06,5.02e+06,3.1576474071668548,2.9983112020611813
"expt_24-REGN10933-400-escape, lib1",200904,expt_24,REGN10933,400,escape,1252342.0,4.46e+06,4.16e+06,3.5583083534689406,3.3209698309247795
"expt_24-REGN10933-400-escape, lib2",200904,expt_24,REGN10933,400,escape,984237.0,3.44e+06,3.02e+06,3.4927898463479834,3.072097472458361
"expt_25-REGN10987-400-escape, lib1",200904,expt_25,REGN10987,400,escape,1155004.0,4e+06,3.62e+06,3.4611680998507364,3.13306014524625
"expt_25-REGN10987-400-escape, lib2",200904,expt_25,REGN10987,400,escape,1091502.0,5.22e+06,4.74e+06,4.784425498075129,4.341585265075098
"expt_75-S2D106-68-escape, lib1",201109,expt_75,S2D106,68,escape,680797.0,1.59e+06,1.34e+06,2.338158070614295,1.9698206660722652
"expt_75-S2D106-68-escape, lib2",201109,expt_75,S2D106,68,escape,500333.0,1.4e+06,1.13e+06,2.8018019998680876,2.2507809798674083
"expt_69-S2E12-56-escape, lib1",201106,expt_69,S2E12,56,escape,1431758.0,6.79e+06,6.3e+06,4.744777399532603,4.4003372078242275
"expt_69-S2E12-56-escape, lib2",201106,expt_69,S2E12,56,escape,1615948.0,3.44e+06,3.28e+06,2.129441665202098,2.02770262409434
"expt_80-S2H13-56-escape, lib1",210113,expt_80,S2H13,56,escape,2156982.0,5.29e+06,5.07e+06,2.4521345101628107,2.3506413127230545
"expt_80-S2H13-56-escape, lib2",210113,expt_80,S2H13,56,escape,2037960.0,5.12e+06,4.94e+06,2.5123550020608842,2.4246947928320477
"expt_81-S2H14-105-escape, lib1",210113,expt_81,S2H14,105,escape,1568655.0,4.08e+06,3.75e+06,2.5995237958633353,2.389168427729488
"expt_81-S2H14-105-escape, lib2",210113,expt_81,S2H14,105,escape,1680901.0,4.43e+06,4.14e+06,2.633856485301633,2.4621188279381117
"expt_74-S2H58-46-escape, lib1",201109,expt_74,S2H58,46,escape,719772.0,2.75e+06,2.4e+06,3.827410624475528,3.3325497518658684
"expt_74-S2H58-46-escape, lib2",201109,expt_74,S2H58,46,escape,870407.0,2.46e+06,2.2e+06,2.8251094028425783,2.530566734872307
"expt_79-S2H97-58-escape, lib1",210113,expt_79,S2H97,58,escape,779263.0,2.11e+06,2.11e+06,2.712156229668289,2.711250245424202
"expt_79-S2H97-58-escape, lib2",210113,expt_79,S2H97,58,escape,867066.0,2.36e+06,2.36e+06,2.7219854082618853,2.7207421349701177
"expt_77-S2X16-54-escape, lib1",201109,expt_77,S2X16,54,escape,713984.0,1.85e+06,1.66e+06,2.589388557726784,2.327372882305486
"expt_77-S2X16-54-escape, lib2",201109,expt_77,S2X16,54,escape,734138.0,2.6e+06,2.34e+06,3.5456698876777937,3.1940275534027665
"expt_78-S2X227-138-escape, lib1",201109,expt_78,S2X227,138,escape,865531.0,2.91e+06,2.64e+06,3.356490986458024,3.04932578960199
"expt_78-S2X227-138-escape, lib2",201109,expt_78,S2X227,138,escape,786025.0,2.11e+06,1.92e+06,2.683043160204828,2.445480741706689
"expt_71-S2X259-59-escape, lib1",201106,expt_71,S2X259,59,escape,700753.0,2.31e+06,2.28e+06,3.2980964762191527,3.2591184054866695
"expt_71-S2X259-59-escape, lib2",201106,expt_71,S2X259,59,escape,600000.0,1.4e+06,1.39e+06,2.3340533333333333,2.3105583333333333
"expt_70-S2X35-70-escape, lib1",201106,expt_70,S2X35,70,escape,1600694.0,3.68e+06,3.58e+06,2.2966432060093935,2.234374590021578
"expt_70-S2X35-70-escape, lib2",201106,expt_70,S2X35,70,escape,801564.0,2.17e+06,2.1e+06,2.7119556267497043,2.6245714627902452
"expt_72-S2X58-18-escape, lib1",201106,expt_72,S2X58,18,escape,2065573.0,7.84e+06,7.4e+06,3.794592590046442,3.5837581145764394
"expt_72-S2X58-18-escape, lib2",201106,expt_72,S2X58,18,escape,1391912.0,4.53e+06,4.25e+06,3.2539312830121445,3.052945157452483
"expt_73-S304-46-escape, lib1",201106,expt_73,S304,46,escape,1121146.0,4.37e+06,4.32e+06,3.898190779791392,3.8490464221430574
"expt_73-S304-46-escape, lib2",201106,expt_73,S304,46,escape,1300000.0,2.51e+06,2.48e+06,1.9301015384615385,1.905546923076923
"expt_68-S309-421-escape, lib1",201106,expt_68,S309,421,escape,1000774.0,4.43e+06,4.4e+06,4.424109739061966,4.391894673522693
"expt_68-S309-421-escape, lib2",201106,expt_68,S309,421,escape,1740195.0,7.3e+06,7.24e+06,4.196238927246659,4.159748189139723
