library,sample,date,experiment,antibody,concentration,concentration_units,group,selection,frac_escape,cells_sorted,R1
lib1,expt_74-S2H58-46-escape,201109,expt_74,S2H58,46,ng_per_mL,Vir,escape,0.098,719772,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt74_lib1*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt74_lib1*.fastq.gz
lib2,expt_74-S2H58-46-escape,201109,expt_74,S2H58,46,ng_per_mL,Vir,escape,0.116,870407,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt74_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt74_lib2*.fastq.gz
lib1,expt_79-S2H97-58-escape,210113,expt_79,S2H97,58,ng_per_mL,Vir,escape,0.069,779263,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt79_lib1_Abneg_S86_R1_001.fastq.gz
lib2,expt_79-S2H97-58-escape,210113,expt_79,S2H97,58,ng_per_mL,Vir,escape,0.081,867066,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt79_lib2_Abneg_S87_R1_001.fastq.gz
lib1,expt_77-S2X16-54-escape,201109,expt_77,S2X16,54,ng_per_mL,Vir,escape,0.137,713984,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt77_lib1*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt77_lib1*.fastq.gz
lib2,expt_77-S2X16-54-escape,201109,expt_77,S2X16,54,ng_per_mL,Vir,escape,0.131,734138,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt77_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt77_lib2*.fastq.gz
lib1,expt_78-S2X227-138-escape,201109,expt_78,S2X227,138,ng_per_mL,Vir,escape,0.094,865531,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt78_lib1*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt78_lib1*.fastq.gz
lib2,expt_78-S2X227-138-escape,201109,expt_78,S2X227,138,ng_per_mL,Vir,escape,0.085,786025,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt78_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt78_lib2*.fastq.gz
lib1,expt_71-S2X259-59-escape,201106,expt_71,S2X259,59,ng_per_mL,Vir,escape,0.068,700753,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_lib2*.fastq.gz
lib2,expt_71-S2X259-59-escape,201106,expt_71,S2X259,59,ng_per_mL,Vir,escape,0.064,600000,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_homolog*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_homolog*.fastq.gz
lib1,expt_70-S2X35-70-escape,201106,expt_70,S2X35,70,ng_per_mL,Vir,escape,0.181,1600694,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt71_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt71_lib2*.fastq.gz
lib2,expt_70-S2X35-70-escape,201106,expt_70,S2X35,70,ng_per_mL,Vir,escape,0.083,801564,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt71_homolog*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt71_homolog*.fastq.gz
lib1,expt_72-S2X58-18-escape,201106,expt_72,S2X58,18,ng_per_mL,Vir,escape,0.222,2065573,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt69_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt69_lib2*.fastq.gz
lib2,expt_72-S2X58-18-escape,201106,expt_72,S2X58,18,ng_per_mL,Vir,escape,0.141,1391912,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt72_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt72_lib2*.fastq.gz
lib1,expt_73-S304-46-escape,201106,expt_73,S304,46,ng_per_mL,Vir,escape,0.123,1121146,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt73_lib1*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt73_lib1*.fastq.gz
lib2,expt_73-S304-46-escape,201106,expt_73,S304,46,ng_per_mL,Vir,escape,0.155,1300000,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt73_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt73_lib2*.fastq.gz
lib1,expt_68-S309-421-escape,201106,expt_68,S309,421,ng_per_mL,Vir,escape,0.1,1000774,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_lib1*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_lib1*.fastq.gz
lib2,expt_68-S309-421-escape,201106,expt_68,S309,421,ng_per_mL,Vir,escape,0.199,1740195,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt69_homolog*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt69_homolog*.fastq.gz
