library,sample,date,experiment,antibody,concentration,concentration_units,group,selection,frac_escape,cells_sorted,R1
lib1,expt_74-78-none-0-reference,201109,expt_74-78,none,0,ng_per_mL,Vir,reference,,,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt74_78_lib1_ref*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt74_78_lib1_ref*.fastq.gz
lib2,expt_74-78-none-0-reference,201109,expt_74-78,none,0,ng_per_mL,Vir,reference,,,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt74_78_lib2_ref*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt74_78_lib2_ref*.fastq.gz
lib1,expt_68-73-none-0-reference,201106,expt_68-73,none,0,ng_per_mL,Vir,reference,,,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_73_lib1_ref*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_73_lib1_ref*.fastq.gz
lib2,expt_68-73-none-0-reference,201106,expt_68-73,none,0,ng_per_mL,Vir,reference,,,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_73_lib2_ref*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_73_lib2_ref*.fastq.gz
lib1,expt_79-81-none-0-reference,210113,expt_79-81,none,0,ng_per_mL,Vir,reference,,,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt_79-81_lib1_ref*.fastq.gz
lib2,expt_79-81-none-0-reference,210113,expt_79-81,none,0,ng_per_mL,Vir,reference,,,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt_79-81_lib2_ref*.fastq.gz
lib1,expt_75-S2D106-68-escape,201109,expt_75,S2D106,68,ng_per_mL,Vir,escape,0.107,680797,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt75_lib1*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt75_lib1*.fastq.gz
lib2,expt_75-S2D106-68-escape,201109,expt_75,S2D106,68,ng_per_mL,Vir,escape,0.062,500333,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt75_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt75_lib2*.fastq.gz
lib1,expt_69-S2E12-56-escape,201106,expt_69,S2E12,56,ng_per_mL,Vir,escape,0.157,1431758,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt70_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt70_lib2*.fastq.gz
lib2,expt_69-S2E12-56-escape,201106,expt_69,S2E12,56,ng_per_mL,Vir,escape,0.183,1615948,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt70_homolog*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt70_homolog*.fastq.gz
lib1,expt_80-S2H13-56-escape,210113,expt_80,S2H13,56,ng_per_mL,Vir,escape,0.194,2156982,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt80_lib1_Abneg_S90_R1_001.fastq.gz
lib2,expt_80-S2H13-56-escape,210113,expt_80,S2H13,56,ng_per_mL,Vir,escape,0.204,2037960,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt80_lib2_Abneg_S91_R1_001.fastq.gz
lib1,expt_81-S2H14-105-escape,210113,expt_81,S2H14,105,ng_per_mL,Vir,escape,0.153,1568655,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt81_lib1_Abneg_S94_R1_001.fastq.gz
lib2,expt_81-S2H14-105-escape,210113,expt_81,S2H14,105,ng_per_mL,Vir,escape,0.153,1680901,/shared/ngs/illumina/tstarr/210115_D00300_1154_BHK3HCBCX3/Unaligned/Project_tstarr/expt81_lib2_Abneg_S95_R1_001.fastq.gz
